haltestellen_id,belastung_x,linien_id,linienname,plan_fahrt_id,belastung_y,einsteiger,aussteiger,besetzung,traffic_total,anzahl_messungen,haltestellenlangname,distanz_m,halt_lin_kurz,halt_lin_lang,zonen,vsys,linienname_fahrgastauskunft,koord_wgs84_n,koord_wgs84_e,Quartier
156,1.4777994589766419,26,13,79602,0.0331325301204819,1.0,8.0,2.75,9.0,3,"Zürich, Bahnhof Oerlikon",286.0,156-13,"Zürich, Bahnhof Oerlikon Linie 13",110.0,T,13,8.544868746143013,47.41146818960042,Marktplatz Oerlikon
74,0.9217920690285065,13,7,1401,0.2116263094782617,8.585422035815268,7.981665777568331,21.374257257304432,16.5670878133836,8950,"Zürich, Schwamendingerplatz",540.5146088595665,74-7,"Zürich, Schwamendingerplatz Linie 7",110.0,T,7,8.571887240086872,47.40459505635997,Tulpenstrasse
237,1.6193482668424266,13,7,1401,0.1787741621662166,8.985549971724787,7.903856277097078,18.05619037878788,16.889406248821864,8950,"Zürich, Bahnhof Stettbach",213.98680490103675,237-7,"Zürich, Bahnhof Stettbach Linie 7",110.0,T,7,8.596133659390068,47.39727557109549,Mattenhof
211,1.4844430486800801,11,4,90257,0.3026987259919284,7.320150193584071,7.8984004037610624,27.545584065265487,15.218550597345134,30215,"Zürich, Limmatplatz",347.0,211-4,"Zürich, Limmatplatz Linie 4",110.0,T,4,8.531622912898953,47.384600012653074,Berufsschulen
23,2.1352897975332508,11,4,90257,0.2706580989562585,7.569755811489124,7.89353649749024,24.62988700501952,15.463292308979366,30122,"Zürich, Bellevue",304.5270496374791,23-4,"Zürich, Bellevue Linie 4",110.0,T,4,8.54508653817144,47.367093234181496,Bellevue
31,1.3235562345345897,84,80,76687,0.3887211542006208,9.013115685483871,7.848241658986175,18.6586154016298,16.861357344470047,21000,"Zürich, Bahnhof Altstetten",669.0927419354839,31-80,"Zürich, Bahnhof Altstetten Linie 80",110.0,B,80,8.488376068301445,47.39110866084621,Altstetterplatz
22,0.8674865379016061,17,2,71915,0.294867507324643,8.463300083798883,7.764733508379888,26.53807565921788,16.22803359217877,13063,"Zürich, Opernhaus",263.5,22-2,"Zürich, Opernhaus Linie 2",110.0,T,2,8.547516327471179,47.36551376530868,Bellevue
160,1.9097201372576462,30,32,17983,0.3578684706844195,6.991498932309839,7.632620348918352,21.47210824106517,14.624119281228191,18307,"Zürich, Bucheggplatz",430.6796929518493,160-32,"Zürich, Bucheggplatz Linie 32",110.0,TR,32,8.533283247999078,47.39837375686216,Radio-Studio
189,1.7299441167741043,10,9,83194,0.2133191094701386,6.722301204301076,7.564037295698925,17.705486086021505,14.2863385,16081,"Zürich, Milchbuck",635.4967741935484,189-9,"Zürich, Milchbuck Linie 9",110.0,T,9,8.541762975424016,47.39778939873318,Irchel
76,1.7560994094754931,18,83,63048,0.4860976218708828,7.341998333333334,7.529795579710145,21.388295362318843,14.87179391304348,8025,"Zürich, Bahnhof Hardbrücke",390.0,76-83,"Zürich, Bahnhof Hardbrücke Linie 83",110.0,TR,83,8.517092875687204,47.38520430124577,Schlachthof
