pers_n,koord_wgs84_e,koord_wgs84_n
162,47.39299190542686,8.479061269021376
48,47.42806602677818,8.479746564235082
72,47.439757312497996,8.479975197470303
20,47.4442420056827,8.481388833898613
12,47.44605260165142,8.480098349451834
25,47.448750578718574,8.4801511378289
16,47.44783930924128,8.481459304465467
7,47.44873863446321,8.48147692360202
45,47.333610974731556,8.480549444979394
48,47.334510331938006,8.480567010768478
30,47.34620195374493,8.480795420126325
11,47.34619000187862,8.482118654441136
58,47.37227115793928,8.482629193178633
50,47.37677984664463,8.481393273895428
191,47.37767919210517,8.481410868252949
24,47.38037722698524,8.481463654901779
176,47.39115738201941,8.482999206795565
52,47.39204474600411,8.484341206465524
380,47.396541447355006,8.484429458585264
165,47.40374813610867,8.483246028858888
115,47.40645811357883,8.481974202582505
59,47.4082448218445,8.483334207985687
145,47.410930848742225,8.484711965898619
4,47.415451472872526,8.482150369904772
64,47.41362885416826,8.484764953082031
9,47.431615497161765,8.48511833877013
34,47.44691605042173,8.484093166025415
26,47.449614024885534,8.484146157916788
4,47.33626115589847,8.485894095585522
23,47.33985857720596,8.48596472657278
88,47.372247197066045,8.485276955651488
110,47.37403388541636,8.486636198144343
65,47.38212798509417,8.486795357483842
82,47.38482601380571,8.486848421381815
173,47.388435388719685,8.485594898885438
131,47.39023407164912,8.48563023788195
33,47.39112140530558,8.486972258121911
0,47.39293209414355,8.48568325086766
142,47.39383143446755,8.485700923060627
51,47.3956181059207,8.487060730922776
117,47.40282482369532,8.485877677936596
53,47.40280078842398,8.488526958649091
70,47.403724161212054,8.485895356719595
134,47.40552283547564,8.485930716083534
21,47.41181818729192,8.486054492739393
23,47.442395428827844,8.486656111790808
9,47.44328273576547,8.487999465282067
0,47.44779138095289,8.486762351915967
4,47.33802378918914,8.489898501124209
110,47.36771441061397,8.48915997649507
36,47.36951310385983,8.489195422045539
127,47.37400983262764,8.48928404642673
112,47.37490917763422,8.489301773104106
0,47.37850655516367,8.489372685818577
266,47.379405898920645,8.489390415498606
93,47.37939384853935,8.490714472857883
145,47.38119253489841,8.490749978732058
207,47.388387270275366,8.490892026290059
93,47.40637403768427,8.491247313712007
0,47.40997137887587,8.491318400104644
17,47.365891606472,8.49177197697347
7,47.36496808915042,8.494401608146244
258,47.36767822177158,8.493131275103405
139,47.367666128456236,8.494455040102286
79,47.372162855674596,8.494544105426998
145,47.3730622003726,8.494561920301951
174,47.375760232971174,8.494615368547466
41,47.37935760627198,8.494686641324321
10,47.384753658700006,8.494793568600235
44,47.38746377927858,8.493522783609516
21,47.39644507444845,8.49502531895336
159,47.40006661049569,8.492447506847578
111,47.40005452509392,8.493772077374643
92,47.405462630323,8.492554249000044
126,47.40545054370864,8.49387895377688
167,47.40636196606263,8.492572041469662
51,47.40723711231271,8.495239333004141
88,47.36493171992434,8.498372698422994
164,47.369452711184486,8.495814473510183
178,47.37303796576041,8.497209716660544
109,47.37302582567622,8.49853361393282
123,47.373925169517236,8.498551496461891
159,47.386540228079625,8.49615344967107
12,47.40091751419884,8.497763663673727
45,47.40000603155635,8.499070353438182
141,47.40632566002867,8.496546221120385
246,47.42160218189103,8.498175032901168
78,47.426098830602776,8.498264503457646
0,47.33703972297905,8.499141812341097
169,47.36129782972152,8.502272012891126
213,47.366706088947765,8.501055933053735
104,47.36760543412138,8.501073856033411
142,47.37478800052364,8.502541201879373
99,47.37661104346121,8.499929133755371
188,47.378397556814,8.501288979144993
179,47.385592285264416,8.501432443142168
77,47.39817082980036,8.50300812027528
113,47.39909453387161,8.500376998457577
99,47.399993870189405,8.500394920939092
71,47.3999695018766,8.503044054117645
96,47.40266750807231,8.50309795944894
60,47.40359121290117,8.500466616940562
31,47.40537770493663,8.501827169728937
73,47.41706903095866,8.502060555661377
92,47.41795616608488,8.503403526572617
211,47.41975482681146,8.50343948722748
206,47.42157786459152,8.500825242828059
41,47.42066635322739,8.502132387417676
350,47.42336434219127,8.502186267630083
81,47.361273418188496,8.504919221009061
42,47.36848039461883,8.503739346439946
198,47.37836095066642,8.505261066014237
40,47.38197053250757,8.504008943650657
0,47.384656334657556,8.50538706437948
116,47.39725928704563,8.504314652829859
87,47.400856630381206,8.504386610001248
491,47.4071397475813,8.505837302599966
75,47.41793172882786,8.506053552513977
70,47.354041914732086,8.50874562358391
101,47.35766380382877,8.506170795455127
160,47.36575791638142,8.506332873749678
132,47.36665726098666,8.506350885498339
124,47.36664501603754,8.507674622086421
88,47.37114173432231,8.507764801711012
31,47.370230130209706,8.509070589924756
24,47.372952666278415,8.506476984820473
188,47.378324207837224,8.50923314739629
277,47.380122889004866,8.50926927800948
211,47.384631851760474,8.508035432240085
304,47.38372024832736,8.509341546580497
60,47.39092722053837,8.508161773561305
217,47.39183880860386,8.506855462243468
107,47.39181429205101,8.509504186680775
180,47.39990831521783,8.509666876392872
37,47.40080764984936,8.509684956091133
84,47.41339830771047,8.509938136232007
173,47.41700790084366,8.508685507048945
85,47.41881881728227,8.507396611754482
99,47.35581604838581,8.511428655143227
149,47.35762702957593,8.510141333172678
15,47.36031277840444,8.511519133186162
279,47.36660819008909,8.511645828183198
109,47.36840687691658,8.511682032270327
265,47.37651324809473,8.510521000428804
194,47.37738798798357,8.513187091821187
162,47.38011061061109,8.510593348623525
